UID          PID    PPID  C STIME TTY          TIME CMD
root         869       1  0 22:12 ?        00:00:00 /usr/libexec/polkitd --no-debug
root         870       1  0 22:12 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       871       1  0 22:12 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         872       1  0 22:12 ?        00:00:00 /usr/lib/snapd/snapd
root         876       1  0 22:12 ?        00:00:00 /usr/libexec/accounts-daemon
root         877       1  0 22:12 ?        00:00:00 /usr/libexec/switcheroo-control
root         878       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-logind
root         879       1  0 22:12 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         880       1  0 22:12 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        884     860  0 22:12 ?        00:00:00 avahi-daemon: chroot helper
root         913       1  0 22:12 ?        00:00:00 /usr/sbin/cupsd -l
root         917       1  0 22:12 ?        00:00:00 /bin/sh /snap/cups/873/scripts/run-cups-browsed
root         918       1  0 22:12 ?        00:00:00 /bin/sh /snap/cups/873/scripts/run-cupsd
root         928       1  0 22:12 ?        00:00:00 /usr/sbin/ModemManager
root         930       1  0 22:12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp           978     913  0 22:12 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           979     913  0 22:12 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           980     913  0 22:12 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        1004       1  0 22:12 ?        00:00:00 /usr/sbin/cups-browsed
root        1007       1  0 22:12 ?        00:00:00 /usr/sbin/cron -f -P
kernoops    1026       1  0 22:12 ?        00:00:00 /usr/sbin/kerneloops --test
root        1031       1  0 22:12 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
kernoops    1035       1  0 22:12 ?        00:00:00 /usr/sbin/kerneloops
root        1048       1  0 22:12 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1062       1  0 22:12 ?        00:00:00 /usr/sbin/gdm3
root        1206     918  0 22:12 ?        00:00:00 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
root        1233     917  0 22:12 ?        00:00:00 /bin/sh /snap/cups/873/scripts/run-cups-browsed
root        1234    1233  0 22:12 ?        00:00:00 sleep 3600
rtkit       1255       1  0 22:12 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1340       1  0 22:12 ?        00:00:00 /usr/libexec/upowerd
root        1375       1  0 22:12 ?        00:00:00 /usr/libexec/packagekitd
colord      1530       1  0 22:12 ?        00:00:00 /usr/libexec/colord
root        1575       1  0 22:12 ?        00:00:01 /usr/sbin/spice-vdagentd
root        1600    1062  0 22:12 ?        00:00:00 gdm-session-worker [pam/gdm-password]
gidwani+    1607       1  0 22:12 ?        00:00:00 /lib/systemd/systemd --user
gidwani+    1608    1607  0 22:12 ?        00:00:00 (sd-pam)
gidwani+    1614    1607  0 22:12 ?        00:00:00 /usr/bin/pipewire
gidwani+    1615    1607  0 22:12 ?        00:00:00 /usr/bin/pipewire-media-session
gidwani+    1616    1607  0 22:12 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
gidwani+    1620    1607  0 22:12 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gidwani+    1622       1  0 22:12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
gidwani+    1627    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfsd
gidwani+    1632    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
gidwani+    1643    1607  0 22:12 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
gidwani+    1650    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
gidwani+    1655    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
gidwani+    1660    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
gidwani+    1664    1607  0 22:12 ?        00:00:00 /usr/libexec/goa-daemon
gidwani+    1671    1607  0 22:12 ?        00:00:00 /usr/libexec/goa-identity-service
gidwani+    1675    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
gidwani+    1681    1607  0 22:12 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
gidwani+    1687    1600  0 22:13 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
gidwani+    1690    1687  0 22:13 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
gidwani+    1733    1607  0 22:13 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
gidwani+    1748    1607  0 22:13 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
gidwani+    1765    1748  0 22:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
gidwani+    1766    1607  3 22:13 ?        00:00:39 /usr/bin/gnome-shell
gidwani+    1774    1765  0 22:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
gidwani+    1788    1607  0 22:13 ?        00:00:00 /usr/libexec/xdg-permission-store
gidwani+    1790    1607  0 22:13 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
gidwani+    1799    1607  0 22:13 ?        00:00:00 /usr/libexec/evolution-source-registry
gidwani+    1806    1607  0 22:13 ?        00:00:00 /usr/libexec/evolution-calendar-factory
gidwani+    1814    1607  0 22:13 ?        00:00:00 /usr/libexec/dconf-service
gidwani+    1820    1607  0 22:13 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
gidwani+    1825    1627  0 22:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
gidwani+    1840    1607  0 22:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
gidwani+    1841    1607  0 22:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gidwani+    1858    1607  0 22:13 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
gidwani+    1859    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-a11y-settings
gidwani+    1860    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-color
gidwani+    1861    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-datetime
gidwani+    1862    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-housekeeping
gidwani+    1865    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-keyboard
gidwani+    1866    1858  0 22:13 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
gidwani+    1867    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-media-keys
gidwani+    1869    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-power
gidwani+    1870    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-print-notifications
gidwani+    1871    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-rfkill
gidwani+    1872    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
gidwani+    1873    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-sharing
gidwani+    1874    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-smartcard
gidwani+    1875    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-sound
gidwani+    1876    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-wacom
gidwani+    1933    1607  0 22:13 ?        00:00:00 /usr/bin/spice-vdagent
gidwani+    1938    1866  0 22:13 ?        00:00:00 /usr/libexec/ibus-dconf
gidwani+    1939    1866  0 22:13 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
gidwani+    1947    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-printer
gidwani+    1955    1607  0 22:13 ?        00:00:00 /usr/libexec/ibus-portal
gidwani+    1963    1766  0 22:13 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.H7H3Y1 -listen 4 -listen 5 -displayfd 6 -initfd 7
gidwani+    1973    1866  0 22:13 ?        00:00:01 /usr/libexec/ibus-engine-simple
gidwani+    1980    1607  0 22:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal
gidwani+    1990    1607  0 22:13 ?        00:00:00 /usr/libexec/xdg-document-portal
root        2003    1990  0 22:13 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
gidwani+    2007    1607  0 22:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
gidwani+    2009    1607  0 22:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
gidwani+    2030    1607  0 22:13 ?        00:00:00 /usr/libexec/gsd-xsettings
gidwani+    2054    1607  0 22:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
gidwani+    2069    1607  0 22:13 ?        00:00:00 /usr/libexec/ibus-x11
gidwani+    2084    1748  0 22:13 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
gidwani+    2095    1748  0 22:13 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
gidwani+    2131    1766  0 22:13 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:74:0:0
gidwani+    2166    1607  0 22:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2239       2  0 22:13 ?        00:00:01 [kworker/0:4-events]
gidwani+    2252    1748  0 22:14 ?        00:00:00 update-notifier
root        2578       2  0 22:18 ?        00:00:00 [kworker/1:1-events]
gidwani+    2658    1627  0 22:19 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
gidwani+    2674    1627  0 22:19 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.2 /org/gtk/gvfs/exec_spaw/3
root        2701       2  0 22:19 ?        00:00:00 [kworker/2:0-inet_frag_wq]
root        2732       2  0 22:20 ?        00:00:00 [kworker/2:3-events]
gidwani+    2744    1607  0 22:20 ?        00:00:03 /usr/libexec/gnome-terminal-server
gidwani+    2762    2744  0 22:20 pts/0    00:00:00 bash
root        2840       2  0 22:22 ?        00:00:00 [kworker/3:0-events]
root        2850       2  0 22:24 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root        2853       2  0 22:24 ?        00:00:00 [kworker/0:1-events]
root        2868       2  0 22:27 ?        00:00:00 [kworker/3:2-cgroup_destroy]
root        2871       2  0 22:30 ?        00:00:00 [kworker/u8:0-flush-253:0]
root        2873       2  0 22:30 ?        00:00:00 [kworker/0:0-events]
root        2903       2  0 22:30 ?        00:00:00 [kworker/1:2]
root        3153       2  0 22:31 ?        00:00:00 [kworker/2:1-events]
root        3423       1  0 22:31 ?        00:00:00 /lib/systemd/systemd-hostnamed
gidwani+    3464    2762  0 22:32 pts/0    00:00:00 ps -ef
